iter	Passed	Remaining
0	0	67
1	1	62
2	1	58
3	2	55
4	2	54
5	3	52
6	3	52
7	4	52
8	5	51
9	5	50
10	6	49
11	6	49
12	7	48
13	7	48
14	8	47
15	8	47
16	9	46
17	9	45
18	10	44
19	10	43
20	11	43
21	12	42
22	12	42
23	13	41
24	13	40
25	14	40
26	14	39
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	17	36
33	18	35
34	19	35
35	19	34
36	20	34
37	20	33
38	21	33
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	24
53	28	24
54	28	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	35	19
64	36	19
65	37	19
66	38	18
67	39	18
68	40	18
69	40	17
70	41	17
71	42	16
72	43	16
73	44	15
74	45	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	49	11
81	50	11
82	53	10
83	53	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
